group,status,size_bytes,source,destination,purpose
code,COPIED,66527,C:\Aarush\Physics\training\encounter_nn\pair_eval_encounterNN_ablation_v1.py,C:\Aarush\Physics\training\encounter_nn\send to mentor\01_code\pair_eval_encounterNN_ablation_v1.py,"Final complete-simulation ablation evaluator. Compares IAS15, SIMON-noNN, SIMON-scalarNN, and SIMON-encounterNN at dt=0.08."
code,COPIED,25026,C:\Aarush\Physics\training\encounter_nn\generate_encounter_surrogate_data_v3_rollout_local.py,C:\Aarush\Physics\training\encounter_nn\send to mentor\01_code\generate_encounter_surrogate_data_v3_rollout_local.py,Final rollout-local data generator. Creates targeted encounter windows around the real IC1 event near t=82.56 yr.
code,COPIED,36257,C:\Aarush\Physics\training\encounter_nn\train_encounter_surrogate_v2_velocitysafe_fixed2.py,C:\Aarush\Physics\training\encounter_nn\send to mentor\01_code\train_encounter_surrogate_v2_velocitysafe_fixed2.py,Final velocity-safe residual-model trainer used for the successful rollout-local EncounterNN model. Included as the final training code.
code,COPIED,30290,C:\Aarush\Physics\training\encounter_nn\diagnose_single_event_replay_v1.py,C:\Aarush\Physics\training\encounter_nn\send to mentor\01_code\diagnose_single_event_replay_v1.py,Single-event replay diagnostic. Tests whether the trained model corrects the exact t=82.56 yr encounter locally.
code,COPIED,18285,C:\Aarush\Physics\training\encounter_nn\diagnose_event_nearest_neighbors_v1.py,C:\Aarush\Physics\training\encounter_nn\send to mentor\01_code\diagnose_event_nearest_neighbors_v1.py,Nearest-neighbour coverage diagnostic. Used to show why the earlier training data did not cover the real rollout event well enough.
code,COPIED,27564,C:\Aarush\Physics\training\encounter_nn\diagnose_rollout_error_timeline_v1c.py,C:\Aarush\Physics\training\encounter_nn\send to mentor\01_code\diagnose_rollout_error_timeline_v1c.py,Post-event alpha/timeline diagnostic. Tests whether partial correction removes the later chaotic branch divergence.
result,COPIED,3181,C:\Aarush\Physics\training\encounter_nn\encounterNN_ablation_v1_out\encounterNN_ablation_summary.txt,C:\Aarush\Physics\training\encounter_nn\send to mentor\02_results\final_ablation\encounterNN_ablation_summary.txt,"Final ablation result summary. This is the most important result file: it compares SIMON-noNN, SIMON-scalarNN, and SIMON-encounterNN."
result,COPIED,293,C:\Aarush\Physics\training\encounter_nn\encounterNN_ablation_v1_out\encounter_events.csv,C:\Aarush\Physics\training\encounter_nn\send to mentor\02_results\final_ablation\encounter_events.csv,Event log for the final ablation. Shows the gated EncounterNN event that was actually used in the 100-year rollout.
result,COPIED,6504,C:\Aarush\Physics\training\encounter_nn\encounter_surrogate_v3_rollout_local_velocitysafe_summary.txt,C:\Aarush\Physics\training\encounter_nn\send to mentor\02_results\final_model_training\encounter_surrogate_v3_rollout_local_velocitysafe_summary.txt,Final model training/evaluation summary for the rollout-local velocity-safe EncounterNN model.
result,COPIED,2495,C:\Aarush\Physics\training\encounter_nn\single_event_replay_v3_rollout_local_t82p56\single_event_replay_summary.txt,C:\Aarush\Physics\training\encounter_nn\send to mentor\02_results\single_event_replay\single_event_replay_summary.txt,Local replay summary for the exact t=82.56 yr event. Shows that the rollout-local model fixes the local encounter exit state.
result,COPIED,1492,C:\Aarush\Physics\training\encounter_nn\single_event_replay_v3_rollout_local_t82p56\single_event_replay_metrics.csv,C:\Aarush\Physics\training\encounter_nn\send to mentor\02_results\single_event_replay\single_event_replay_metrics.csv,CSV metrics corresponding to the single-event replay summary.
result,COPIED,4891,C:\Aarush\Physics\training\encounter_nn\rollout_error_timeline_v1c\rollout_error_timeline_summary.txt,C:\Aarush\Physics\training\encounter_nn\send to mentor\02_results\branch_timeline\rollout_error_timeline_summary.txt,Timeline diagnostic summary. Explains when the EncounterNN trajectory becomes worse than noNN after the corrected encounter.
result,COPIED,2663,C:\Aarush\Physics\training\encounter_nn\rollout_error_timeline_v1c\alpha_sweep_summary.csv,C:\Aarush\Physics\training\encounter_nn\send to mentor\02_results\branch_timeline\alpha_sweep_summary.csv,"Alpha sweep summary. Shows that alpha=1.0 was best among tested partial-correction strengths, but branch sensitivity remained."
report_optional,NOT_PRESENT_OPTIONAL,,C:\Aarush\Physics\training\encounter_nn\EncounterNN_Mentor_Report.pdf,C:\Aarush\Physics\training\encounter_nn\send to mentor\00_report\EncounterNN_Mentor_Report.pdf,Optional comprehensive narrative report. Copied only if this PDF exists inside encounter_nn.
